Date,Race,Gender,Participation
1978-12-01,NA,women,0.502
1978-12-01,NA,men,0.78
1979-01-01,NA,women,0.504
1979-01-01,NA,men,0.78
1979-02-01,NA,women,0.505
1979-02-01,NA,men,0.7809999999999999
1979-03-01,NA,women,0.506
1979-03-01,NA,men,0.7809999999999999
1979-04-01,NA,women,0.507
1979-04-01,NA,men,0.7809999999999999
1979-05-01,NA,women,0.507
1979-05-01,NA,men,0.7809999999999999
1979-06-01,NA,women,0.508
1979-06-01,NA,men,0.7809999999999999
1979-07-01,NA,women,0.508
1979-07-01,NA,men,0.7809999999999999
1979-08-01,NA,women,0.509
1979-08-01,NA,men,0.7809999999999999
1979-09-01,NA,women,0.51
1979-09-01,NA,men,0.7809999999999999
1979-10-01,NA,women,0.511
1979-10-01,NA,men,0.7809999999999999
1979-11-01,NA,women,0.512
1979-11-01,NA,men,0.78
1979-12-01,NA,women,0.512
1979-12-01,NA,men,0.78
1980-01-01,NA,women,0.513
1980-01-01,NA,men,0.779
1980-02-01,NA,women,0.514
1980-02-01,NA,men,0.779
1980-03-01,NA,women,0.514
1980-03-01,NA,men,0.779
1980-04-01,NA,women,0.515
1980-04-01,NA,men,0.778
1980-05-01,NA,women,0.515
1980-05-01,NA,men,0.778
1980-06-01,NA,women,0.516
1980-06-01,NA,men,0.778
1980-07-01,NA,women,0.516
1980-07-01,NA,men,0.777
1980-08-01,NA,women,0.517
1980-08-01,NA,men,0.777
1980-09-01,NA,women,0.517
1980-09-01,NA,men,0.7759999999999999
1980-10-01,NA,women,0.517
1980-10-01,NA,men,0.7759999999999999
1980-11-01,NA,women,0.517
1980-11-01,NA,men,0.775
1980-12-01,NA,women,0.517
1980-12-01,NA,men,0.775
1981-01-01,NA,women,0.517
1981-01-01,NA,men,0.774
1981-02-01,NA,women,0.517
1981-02-01,NA,men,0.774
1981-03-01,NA,women,0.518
1981-03-01,NA,men,0.774
1981-04-01,NA,women,0.519
1981-04-01,NA,men,0.774
1981-05-01,NA,women,0.52
1981-05-01,NA,men,0.774
1981-06-01,NA,women,0.521
1981-06-01,NA,men,0.773
1981-07-01,NA,women,0.521
1981-07-01,NA,men,0.773
1981-08-01,NA,women,0.522
1981-08-01,NA,men,0.772
1981-09-01,NA,women,0.522
1981-09-01,NA,men,0.772
1981-10-01,NA,women,0.522
1981-10-01,NA,men,0.7709999999999999
1981-11-01,NA,women,0.523
1981-11-01,NA,men,0.7709999999999999
1981-12-01,NA,women,0.523
1981-12-01,NA,men,0.7709999999999999
1982-01-01,NA,women,0.523
1982-01-01,NA,men,0.7709999999999999
1982-02-01,NA,women,0.523
1982-02-01,NA,men,0.77
1982-03-01,NA,women,0.523
1982-03-01,NA,men,0.77
1982-04-01,NA,women,0.523
1982-04-01,NA,men,0.769
1982-05-01,NA,women,0.524
1982-05-01,NA,men,0.769
1982-06-01,NA,women,0.524
1982-06-01,NA,men,0.769
1982-07-01,NA,women,0.525
1982-07-01,NA,men,0.769
1982-08-01,NA,women,0.526
1982-08-01,NA,men,0.768
1982-09-01,NA,women,0.527
1982-09-01,NA,men,0.768
1982-10-01,NA,women,0.527
1982-10-01,NA,men,0.768
1982-11-01,NA,women,0.527
1982-11-01,NA,men,0.768
1982-12-01,NA,women,0.528
1982-12-01,NA,men,0.768
1983-01-01,NA,women,0.529
1983-01-01,NA,men,0.767
1983-02-01,NA,women,0.529
1983-02-01,NA,men,0.767
1983-03-01,NA,women,0.529
1983-03-01,NA,men,0.7659999999999999
1983-04-01,NA,women,0.529
1983-04-01,NA,men,0.7659999999999999
1983-05-01,NA,women,0.529
1983-05-01,NA,men,0.765
1983-06-01,NA,women,0.53
1983-06-01,NA,men,0.765
1983-07-01,NA,women,0.53
1983-07-01,NA,men,0.7659999999999999
1983-08-01,NA,women,0.53
1983-08-01,NA,men,0.7659999999999999
1983-09-01,NA,women,0.531
1983-09-01,NA,men,0.7659999999999999
1983-10-01,NA,women,0.531
1983-10-01,NA,men,0.765
1983-11-01,NA,women,0.531
1983-11-01,NA,men,0.765
1983-12-01,NA,women,0.531
1983-12-01,NA,men,0.765
1984-01-01,NA,women,0.531
1984-01-01,NA,men,0.765
1984-02-01,NA,women,0.532
1984-02-01,NA,men,0.765
1984-03-01,NA,women,0.5329999999999999
1984-03-01,NA,men,0.765
1984-04-01,NA,women,0.534
1984-04-01,NA,men,0.765
1984-05-01,NA,women,0.535
1984-05-01,NA,men,0.765
1984-06-01,NA,women,0.535
1984-06-01,NA,men,0.765
1984-07-01,NA,women,0.536
1984-07-01,NA,men,0.765
1984-08-01,NA,women,0.536
1984-08-01,NA,men,0.765
1984-09-01,NA,women,0.536
1984-09-01,NA,men,0.765
1984-10-01,NA,women,0.537
1984-10-01,NA,men,0.765
1984-11-01,NA,women,0.537
1984-11-01,NA,men,0.765
1984-12-01,NA,women,0.5379999999999999
1984-12-01,NA,men,0.765
1985-01-01,NA,women,0.539
1985-01-01,NA,men,0.765
1985-02-01,NA,women,0.54
1985-02-01,NA,men,0.765
1985-03-01,NA,women,0.541
1985-03-01,NA,men,0.765
1985-04-01,NA,women,0.541
1985-04-01,NA,men,0.765
1985-05-01,NA,women,0.542
1985-05-01,NA,men,0.765
1985-06-01,NA,women,0.542
1985-06-01,NA,men,0.764
1985-07-01,NA,women,0.542
1985-07-01,NA,men,0.764
1985-08-01,NA,women,0.542
1985-08-01,NA,men,0.764
1985-09-01,NA,women,0.5429999999999999
1985-09-01,NA,men,0.763
1985-10-01,NA,women,0.544
1985-10-01,NA,men,0.763
1985-11-01,NA,women,0.545
1985-11-01,NA,men,0.763
1985-12-01,NA,women,0.545
1985-12-01,NA,men,0.763
1986-01-01,NA,women,0.546
1986-01-01,NA,men,0.763
1986-02-01,NA,women,0.546
1986-02-01,NA,men,0.763
1986-03-01,NA,women,0.546
1986-03-01,NA,men,0.763
1986-04-01,NA,women,0.547
1986-04-01,NA,men,0.763
1986-05-01,NA,women,0.5479999999999999
1986-05-01,NA,men,0.763
1986-06-01,NA,women,0.5489999999999999
1986-06-01,NA,men,0.763
1986-07-01,NA,women,0.55
1986-07-01,NA,men,0.763
1986-08-01,NA,women,0.551
1986-08-01,NA,men,0.763
1986-09-01,NA,women,0.552
1986-09-01,NA,men,0.763
1986-10-01,NA,women,0.5529999999999999
1986-10-01,NA,men,0.762
1986-11-01,NA,women,0.5529999999999999
1986-11-01,NA,men,0.763
1986-12-01,NA,women,0.5539999999999999
1986-12-01,NA,men,0.763
1987-01-01,NA,women,0.5539999999999999
1987-01-01,NA,men,0.763
1987-02-01,NA,women,0.555
1987-02-01,NA,men,0.763
1987-03-01,NA,women,0.555
1987-03-01,NA,men,0.763
1987-04-01,NA,women,0.556
1987-04-01,NA,men,0.763
1987-05-01,NA,women,0.557
1987-05-01,NA,men,0.763
1987-06-01,NA,women,0.557
1987-06-01,NA,men,0.763
1987-07-01,NA,women,0.557
1987-07-01,NA,men,0.763
1987-08-01,NA,women,0.5579999999999999
1987-08-01,NA,men,0.763
1987-09-01,NA,women,0.5579999999999999
1987-09-01,NA,men,0.763
1987-10-01,NA,women,0.5589999999999999
1987-10-01,NA,men,0.763
1987-11-01,NA,women,0.5589999999999999
1987-11-01,NA,men,0.762
1987-12-01,NA,women,0.56
1987-12-01,NA,men,0.762
1988-01-01,NA,women,0.561
1988-01-01,NA,men,0.762
1988-02-01,NA,women,0.562
1988-02-01,NA,men,0.762
1988-03-01,NA,women,0.562
1988-03-01,NA,men,0.762
1988-04-01,NA,women,0.563
1988-04-01,NA,men,0.762
1988-05-01,NA,women,0.563
1988-05-01,NA,men,0.7609999999999999
1988-06-01,NA,women,0.563
1988-06-01,NA,men,0.762
1988-07-01,NA,women,0.563
1988-07-01,NA,men,0.762
1988-08-01,NA,women,0.564
1988-08-01,NA,men,0.762
1988-09-01,NA,women,0.564
1988-09-01,NA,men,0.762
1988-10-01,NA,women,0.565
1988-10-01,NA,men,0.762
1988-11-01,NA,women,0.565
1988-11-01,NA,men,0.762
1988-12-01,NA,women,0.5660000000000001
1988-12-01,NA,men,0.762
1989-01-01,NA,women,0.5670000000000001
