Date,Race,Gender,Median,Average
1973,NA,NA,17.27,20.09
1973,white,NA,17.94,20.73
1973,black,NA,13.95,16.26
1973,hispanic,NA,14.3,16.35
1974,NA,NA,16.93,19.72
1974,white,NA,17.51,20.28
1974,black,NA,14.04,16.05
1974,hispanic,NA,14.17,16.63
1975,NA,NA,16.94,19.77
1975,white,NA,17.44,20.36
1975,black,NA,14.11,16.13
1975,hispanic,NA,14.09,16.04
1976,NA,NA,16.9,19.99
1976,white,NA,17.53,20.51
1976,black,NA,14.2,16.78
1976,hispanic,NA,14.16,16.58
1977,NA,NA,16.92,19.88
1977,white,NA,17.48,20.43
1977,black,NA,14.18,16.54
1977,hispanic,NA,14.11,16.78
1978,NA,NA,17.07,19.92
1978,white,NA,17.71,20.5
1978,black,NA,14.15,16.68
1978,hispanic,NA,14.1,16.41
1979,NA,NA,16.79,20.1
1979,white,NA,17.45,20.67
1979,black,NA,14.58,17.09
1979,hispanic,NA,14.39,16.88
1980,NA,NA,16.68,19.7
1980,white,NA,17.39,20.26
1980,black,NA,14.38,16.74
1980,hispanic,NA,14.23,16.61
1981,NA,NA,16.5,19.59
1981,white,NA,16.98,20.16
1981,black,NA,14.01,16.65
1981,hispanic,NA,13.63,16.4
1982,NA,NA,16.43,19.76
1982,white,NA,17.25,20.37
1982,black,NA,13.91,16.48
1982,hispanic,NA,13.75,16.44
1983,NA,NA,16.47,19.8
1983,white,NA,17.11,20.41
1983,black,NA,13.98,16.69
1983,hispanic,NA,13.62,16.39
1984,NA,NA,16.55,19.87
1984,white,NA,17.32,20.53
1984,black,NA,13.95,16.63
1984,hispanic,NA,13.77,16.33
1985,NA,NA,16.81,20.08
1985,white,NA,17.27,20.82
1985,black,NA,13.93,16.65
1985,hispanic,NA,13.7,16.51
1986,NA,NA,16.92,20.57
1986,white,NA,17.78,21.34
1986,black,NA,14.23,17
1986,hispanic,NA,13.69,16.78
1987,NA,NA,17.11,20.69
1987,white,NA,17.74,21.51
1987,black,NA,14.26,17.15
1987,hispanic,NA,13.68,16.64
1988,NA,NA,16.88,20.85
1988,white,NA,17.83,21.72
1988,black,NA,14.55,17.44
1988,hispanic,NA,13.52,16.49
1989,NA,NA,16.84,20.31
1989,white,NA,17.78,21.17
1989,black,NA,14.15,16.84
1989,hispanic,NA,13.27,16.27
1990,NA,NA,16.82,20.25
1990,white,NA,17.82,21.2
