Occupation,Total,Race,Percentage
"Total, 16 years and over",147795,Women,46.8
"Total, 16 years and over",147795,White,78
"Total, 16 years and over",147795,Black/African American,12.1
"Total, 16 years and over",147795,Asian,6.4
"Total, 16 years and over",147795,Hispanic/Latino,17.6
"Management, professional, and related occupations",63644,Women,51.7
"Management, professional, and related occupations",63644,White,78.7
"Management, professional, and related occupations",63644,Black/African American,9.7
"Management, professional, and related occupations",63644,Asian,8.6
"Management, professional, and related occupations",63644,Hispanic/Latino,10.4
"Management, business, and financial operations occupations",27143,Women,44.6
"Management, business, and financial operations occupations",27143,White,81.7
"Management, business, and financial operations occupations",27143,Black/African American,8.8
"Management, business, and financial operations occupations",27143,Asian,6.7
"Management, business, and financial operations occupations",27143,Hispanic/Latino,10.9
Management occupations,18564,Women,40.4
Management occupations,18564,White,83.4
Management occupations,18564,Black/African American,8
Management occupations,18564,Asian,5.8
Management occupations,18564,Hispanic/Latino,10.7
Chief executives,1669,Women,29.3
Chief executives,1669,White,88
Chief executives,1669,Black/African American,4.3
Chief executives,1669,Asian,5.4
Chief executives,1669,Hispanic/Latino,7.4
General and operations managers,1057,Women,30.5
General and operations managers,1057,White,84.4
General and operations managers,1057,Black/African American,7.1
General and operations managers,1057,Asian,4.5
General and operations managers,1057,Hispanic/Latino,12.4
Legislators,25,Women,NA
Legislators,25,White,NA
Legislators,25,Black/African American,NA
Legislators,25,Asian,NA
Legislators,25,Hispanic/Latino,NA
Advertising and promotions managers,56,Women,52.1
Advertising and promotions managers,56,White,80.5
Advertising and promotions managers,56,Black/African American,14.7
Advertising and promotions managers,56,Asian,3.9
Advertising and promotions managers,56,Hispanic/Latino,3.5
Marketing managers,554,Women,60.7
Marketing managers,554,White,84.1
Marketing managers,554,Black/African American,5.5
Marketing managers,554,Asian,7.6
Marketing managers,554,Hispanic/Latino,9.9
Sales managers,521,Women,30.9
Sales managers,521,White,87.6
Sales managers,521,Black/African American,5.8
Sales managers,521,Asian,4.2
Sales managers,521,Hispanic/Latino,7.6
Public relations and fundraising managers,95,Women,66.4
Public relations and fundraising managers,95,White,91
Public relations and fundraising managers,95,Black/African American,4.3
Public relations and fundraising managers,95,Asian,2.3
Public relations and fundraising managers,95,Hispanic/Latino,7.6
Administrative services managers,65,Women,71.7
Administrative services managers,65,White,83.4
Administrative services managers,65,Black/African American,9.5
Administrative services managers,65,Asian,6.5
Administrative services managers,65,Hispanic/Latino,16.9
Facilities managers,134,Women,25
Facilities managers,134,White,90.1
Facilities managers,134,Black/African American,4.9
Facilities managers,134,Asian,2.4
Facilities managers,134,Hispanic/Latino,12.6
Computer and information systems managers,744,Women,26.6
Computer and information systems managers,744,White,75.5
Computer and information systems managers,744,Black/African American,7
Computer and information systems managers,744,Asian,15.5
Computer and information systems managers,744,Hispanic/Latino,5.2
Financial managers,1309,Women,52.6
Financial managers,1309,White,79.4
Financial managers,1309,Black/African American,9.7
Financial managers,1309,Asian,8.2
Financial managers,1309,Hispanic/Latino,9.9
Compensation and benefits managers,18,Women,NA
Compensation and benefits managers,18,White,NA
Compensation and benefits managers,18,Black/African American,NA
Compensation and benefits managers,18,Asian,NA
Compensation and benefits managers,18,Hispanic/Latino,NA
Human resources managers,287,Women,76.8
Human resources managers,287,White,81
Human resources managers,287,Black/African American,12
Human resources managers,287,Asian,4.9
Human resources managers,287,Hispanic/Latino,14
Training and development managers,52,Women,55.8
Training and development managers,52,White,85.4
Training and development managers,52,Black/African American,9.2
Training and development managers,52,Asian,0.2
Training and development managers,52,Hispanic/Latino,10.1
Industrial production managers,272,Women,22.6
Industrial production managers,272,White,84.3
Industrial production managers,272,Black/African American,5.9
Industrial production managers,272,Asian,7.2
Industrial production managers,272,Hispanic/Latino,13.5
Purchasing managers,212,Women,45.8
Purchasing managers,212,White,83.2
Purchasing managers,212,Black/African American,12.1
Purchasing managers,212,Asian,3.1
Purchasing managers,212,Hispanic/Latino,7.3
"Transportation, storage, and distribution managers",300,Women,21.3
"Transportation, storage, and distribution managers",300,White,79.3
"Transportation, storage, and distribution managers",300,Black/African American,10.7
"Transportation, storage, and distribution managers",300,Asian,6.1
"Transportation, storage, and distribution managers",300,Hispanic/Latino,17.2
"Farmers, ranchers, and other agricultural managers",901,Women,25.1
"Farmers, ranchers, and other agricultural managers",901,White,96.3
"Farmers, ranchers, and other agricultural managers",901,Black/African American,0.7
"Farmers, ranchers, and other agricultural managers",901,Asian,0.8
"Farmers, ranchers, and other agricultural managers",901,Hispanic/Latino,4.3
Construction managers,966,Women,8.4
Construction managers,966,White,91.4
Construction managers,966,Black/African American,3.3
Construction managers,966,Asian,2.9
Construction managers,966,Hispanic/Latino,14.5
Education and childcare administrators,948,Women,66.5
Education and childcare administrators,948,White,79.5
Education and childcare administrators,948,Black/African American,14.3
Education and childcare administrators,948,Asian,3.3
Education and childcare administrators,948,Hispanic/Latino,12
Architectural and engineering managers,171,Women,9.5
Architectural and engineering managers,171,White,84.2
Architectural and engineering managers,171,Black/African American,3.4
Architectural and engineering managers,171,Asian,9.5
Architectural and engineering managers,171,Hispanic/Latino,4.7
Food service managers,1092,Women,46.6
Food service managers,1092,White,77.7
Food service managers,1092,Black/African American,9.8
Food service managers,1092,Asian,9.4
Food service managers,1092,Hispanic/Latino,19.8
Funeral home managers,10,Women,NA
Funeral home managers,10,White,NA
Funeral home managers,10,Black/African American,NA
Funeral home managers,10,Asian,NA
Funeral home managers,10,Hispanic/Latino,NA
Entertainment and recreation managers,40,Women,NA
Entertainment and recreation managers,40,White,NA
